ID Маркета;Исход первого входа;Цена первого входа;Признак Risk-Free;PnL (Сумма);PnL (%);Вложено всего
0x002e245fd3475a5e1b13677c9547ca01743d34fb3713500fdd629fc22cc3f0e6;Up;0,56;Нет;-2221,00;-11,81;18803,39
0x005333f0656144d60b92a99703257cb71e5672c81b03f21095e01850c2fdc030;Down;0,45;Нет;-251,79;-10,04;2508,01
0x00c72b51747cbdaae3da039447f0be805bb88f776c245b9deead36d23801161b;Down;0,60;Да;307,03;25,48;1205,12
0x014238ff4c593978c81be0de4fedebd2251a335fa7e2bf41fb058ff361587b89;Up;0,53;Да;196,20;89,20;219,97
0x0142aa9da9562390cfad2a250a9e099431e2eae23256a2ec3cf5a13105e7b229;Down;0,69;Да;148,44;9,84;1508,51
0x01cafca7d845c173524f280c91ef303622ca6bb3e578cf10a787a4255dbb5c29;Down;0,40;Нет;-17,25;-9,20;187,51
0x01e135daf300c2b74adef8483919567a9e9031e91f27526ae40f8e519656c09e;Up;0,50;Да;145,10;23,10;628,03
0x01e26c29b0cdb3e893fdc0f25bd9f72268cca17c4407652d870c76eca6e7b18d;Down;0,49;Да;844,30;8,85;9544,72
0x02271a45bb2bf26ac429f846984dda6b3093d270a7830c988ecb04d1ee51f5be;Up;0,43;Нет;-79,04;-3,94;2004,96
0x02510fd85b64ed1c7ec74086f2ed1a43d2bf73210ccfed77dcc0dc0e802a33c3;Down;0,54;Нет;-182,16;-23,14;787,04
0x0375741885c5be654d8fa64e06296d9c2da848eab2ea29e75cb743a35fec3d94;Up;0,56;Нет;-511,03;-6,47;7897,56
0x039cf7600541bacb0b459501f31a8a802bc11141de94b41c698276780468c890;Up;0,53;Нет;241,35;6,53;3694,67
0x03bbeaed02b50db683071066deddaefa1df8d22b8a970f64627a9a1279c7810f;Down;0,52;Да;620,70;19,66;3157,09
0x03c7383c82925745c9def1f02afb03274ef2281214e07baf7c2b78b380d2e56a;Up;0,37;Да;300,37;12,52;2398,95
0x042402ea3e03279d7ce2ed561f5ee7f7efe32c86be292ee1bbacceeb9214bd94;Up;0,49;Да;280,54;2,90;9677,01
0x047bf121383a63c9525c0d153e38f1923f565dbeb582ce7ec916206a142012ed;Down;0,42;Нет;-28,15;-10,17;276,79
0x04dd32fbf8363f9bac3297a154a47e0f680a6e162c5d3febed377e34b5f031dc;Down;0,65;Нет;-40,01;-11,51;347,51
0x0554ab7698b2825fdf43885c729757a95689fa0f054d75618e1c614fc4fc1a49;Up;0,40;Да;-3,80;-1,47;257,99
0x063387e08cbe0cdcf131d08e2bfcb936943e4b12cced8687bf5755b708b4a6a3;Down;0,52;Да;606,75;5,42;11198,36
0x067c286cd0a731f9a20570e463227052cbb1cc3aea0a3ad2f9cc37f4828f759f;Down;0,55;Нет;40,04;18,24;219,52
0x06b92a28bb45098da3e9d3ba7484b94656c2bc28af1db6f14a9d10f924b0d70a;Up;0,37;Нет;-50,71;-15,23;332,96
0x06c20b6a73a4064834adb32efbd89ae52aeda980cd669d5fda4026c3da684bfa;Up;0,55;Да;73,52;11,10;662,33
0x07744d587a66e1f27c355438312a097d8ccec8aa1a286d796566e34b2476ff1e;Up;0,54;Нет;-27,12;-0,52;5181,07
0x07afeeb74e5a60ebe07127253ef2766867fd5ec623eff2499438486900ffc320;Up;0,20;Нет;-116,04;-3,38;3437,29
0x07ce66d4f3a350987bbd62f53fe8e1d7a732b116d6ab225e9fb46f3e531980e9;Up;0,47;Да;-14,27;-4,88;292,52
0x0821fd539b8748c4c14f4a8624abd290bfd2f84d951330a4aa4246208849d38f;Up;0,59;Да;81,97;14,13;580,05
0x083dcc57808df720705c51c4c1017b3c2dbcb792f76cd23f9e35d3ba50705c54;Down;0,57;Нет;157,34;48,13;326,89
0x0927b2fe8a84cd948dc7941f6a324791c3c5e98b865f30946ee56ee53cf9852a;Up;0,58;Да;623,68;12,84;4858,23
0x096086af5eacf99a878d725042106ad85988a46a8926cee42f4af82744ecf6f3;Up;0,55;Да;30,49;7,96;382,94
0x0994d30255f190c71a2c88f539f1af80457d75c88d448b108b14589bd5f30c26;Up;0,49;Да;463,37;19,28;2403,91
0x0a0dd1a4321d11e1cddad99aafc1bf6123dde47f54a604bda0b3389c33fc3401;Down;0,50;Да;357,39;3,94;9067,28
0x0a1f3374e6e865d5468d890fbedc70914125936eb65a1adc5e24623d8fd7279e;Up;0,47;Да;21,33;12,94;164,80
0x0a6b31df1cddc12c47401f7aa65e13e3854609fb1cad94ef02e8ae7228bdcd55;Down;0,57;Нет;-77,38;-1,97;3921,96
0x0a810746d770f03f9cb3cce532e50c2faf1dc636c0b01031305d1e4a9006cc3a;Down;0,66;Нет;462,04;10,09;4580,74
0x0b648aecf576c193c1868fb7d67d468953391a4311b82d4f28ea4936e8a6b510;Down;0,48;Да;-23,92;-10,97;217,95
0x0b77ec14bb6a29350de6825f6d36ca208714fe8a0d9bf6ee861c37d161e719b4;Up;0,51;Нет;46,45;14,26;325,71
0x0bd3594a0b49022f611c89234763d0db93205f7a0a74171cbfe9543498c7a86f;Up;0,38;Да;10,05;0,44;2286,04
0x0c705fc66f2d9011abb40c18927313fcab077752c733adc0c96989b1ba392c1f;Down;0,55;Нет;-296,56;-7,33;4045,74
0x0c7ed4aec04ce85c7ea0fcab7a618015b000b50b603e84a94284a4967ecdc228;Down;0,60;Да;438,32;13,63;3216,88
0x0c8eb86147db015cdc6b9c538e90aa0441d648904ebf434a1a652eafee9424ff;Up;0,54;Нет;-314,37;-9,37;3354,16
0x0c93d1c81f8e6c3abf8bc2f65eec51bc5f3023b3e142d5476a1c16147b3ad5fb;Up;0,50;Да;122,66;5,09;2411,86
0x0cfd3a709ece83367c5e05cb0c01336bb0fb77456af5a615a9a00de9265abeca;Up;0,55;Нет;-54,97;-7,79;705,67
0x0d5b27d0ae7be3a4d0abd75e543572109719b692d1cc3545ae7e83082d823cc1;Up;0,61;Да;-449,55;-8,24;5453,04
0x0e540d6e8a4f074c79da5746b2e396b6a62b97598cfbfce6435dcb37a3dc02c4;Down;0,69;Нет;-43,16;-9,88;436,63
0x0eb976907f0a59b711dffee2e31bb22fa4bbc18d25e3243cad5fde945cde83ce;Down;0,38;Нет;10,06;1,67;602,84
0x0eee58af56d1e8d3869cfaa478e825e0a12ff7e52688d34233280d68114353d3;Down;0,46;Да;687,09;30,47;2254,72
0x0f3cf3a6d07ed150a1e4ed59425d59ad4bf604c4663a5cd40527f06a2574c98b;Up;0,46;Нет;-152,24;-19,33;787,65
0x0fbe6cc636e8103ed1d1405d07575f76236f8d704c37fb84a1e2071f41e35766;Down;0,48;Нет;467,54;22,66;2063,16
0x0fc2f085a3f76378710fbefd7fb1745f9dbf18494ef35b0358682d7ef4dd0a64;Up;0,65;Нет;1445,46;41,41;3490,19
0x0fe7f770801aeea49cc7325961c816e59b4ba82b5e770d3286766fb465498595;Up;0,48;Нет;-429,85;-10,35;4153,94
0x1053f5bc426d43b9d033dee1fab6f8c07d7c5bd7babfcd21e9864a783f8f468f;Up;0,36;Нет;-49,04;-10,66;459,99
0x1088183ce0267646c63235b6f7fc96e4d1890caa5c7a9cce5da5b7d74781809a;Up;0,42;Нет;-34,94;-4,12;848,64
0x11767d138275b8bd1d992b9a04c978f8369d935af509222778b512a5ce8eb694;Down;0,21;Да;2,28;1,73;131,70
0x117e0b87c42961aecaed5cc0232b1843452c7ca324b3530fd0252e8fb7d73def;Down;0,01;Нет;-12,06;-100,00;12,06
0x122d6cd0d42cb974f5d7c61ade6462648f331f9d9217103d0c1ae11257643bc0;Down;0,85;Нет;181,52;12,42;1461,09
0x145073596cc306f4d1c8fd9c3d7e119f624fe43b4808747b211d8030cbba7072;Up;0,62;Да;11,57;7,16;161,64
0x15003c07ae2d5883108e9b1e57ec60b1d28c472075d5f49e312c26c133bd0b68;Up;0,47;Нет;-37,16;-6,56;566,19
0x15e9fcced0fde595b112ebf70bcbd98af9eb74930e7508600ffd5a5910528b93;Up;0,57;Нет;-115,48;-5,72;2018,15
0x16870ee1609a4173fd130179d8483b6328c634bf4775bfe4aa971c5799430cc4;Down;0,47;Да;73,76;1,78;4144,10
0x175e6fae9d3d1fddb07df06a60dfe7ac6fe4fe1891167a3276606bcd3022fd2d;Down;0,50;Да;63,90;21,38;298,86
0x189d6569c1d091ddddeb9b52a66b46240418c5ad961037075b435d76b2ef5672;Down;0,52;Нет;366,16;15,08;2428,81
0x1907a18fcf628f3dc2e993d6c1e1315b579dcdea6d64d3b3f0378143512682e6;Up;0,29;Да;4,22;1,52;277,18
0x192f8a45845d571ea85f32d2a5a4584fa8fc7a72118bc2cea50e7f79b6338af8;Down;0,55;Да;13,68;6,94;197,19
0x194bc96be8d692e1938405ce845f0990b15d16dba9ceb536925f5b2393d19f85;Down;0,57;Нет;-641,27;-27,23;2355,21
0x1a2980cd10d3c07f5dfc8eb41a4adaf79012167ca00d98bced248a03ad5f55da;Up;0,22;Нет;-119,93;-20,32;590,16
0x1b8c7e2b61a80edf8da81684105e2e742a7da056872b0942173adef0f1a43356;Down;0,47;Да;103,03;8,12;1268,96
