Entry Price;Hedge50 Profit;RF Profit;Arb Profit;Budget Limit;Risk Threshold;Target Loss;Total PnL ($);Total Invested ($);Entry size;Wins;Losses;Total Markets
0,42;0,01;0,05;0,35;60;-0,5;-0,08;212,63;15923,03;15;362;58;420
0,42;0,01;0,05;0,35;60;-0,3;-0,08;211,36;15924,30;15;362;58;420
0,42;0,01;0,05;0,35;60;-0,5;-0,01;210,19;15925,47;15;362;58;420
0,42;0,01;0,05;0,35;60;-0,3;-0,01;207,93;15927,73;15;362;58;420
0,42;0,01;0,05;0,35;60;-0,5;0,05;205,65;15930,01;15;362;58;420
0,42;0,01;0,05;0,35;60;-0,3;0,05;202,54;15933,12;15;362;58;420
0,42;0,01;0,05;0,35;105;-0,5;-0,01;118,11;18795,87;10;375;45;420
0,42;0,01;0,05;0,35;105;-0,3;-0,01;116,72;18797,26;10;375;45;420
0,42;0,01;0,05;0,35;105;-0,5;0,05;116,62;18804,43;10;376;44;420
0,42;0,01;0,05;0,35;105;-0,5;-0,08;115,80;18790,01;10;375;45;420
0,42;0,01;0,05;0,35;105;-0,3;0,05;115,43;18805,62;10;376;44;420
0,42;0,01;0,05;0,35;105;-0,3;-0,08;114,94;18790,87;10;375;45;420
0,42;0,01;0,05;0,3;105;-0,5;0,05;92,58;20768,69;15;375;45;420
0,42;0,01;0,05;0,3;105;-0,5;-0,01;92,15;20762,14;15;374;46;420
0,42;0,01;0,05;0,3;105;-0,3;-0,01;89,70;20764,59;15;374;46;420
0,42;0,01;0,05;0,3;105;-0,3;0,05;89,37;20771,90;15;375;45;420
0,42;0,01;0,05;0,3;105;-0,5;-0,08;89,33;17739,48;10;382;38;420
0,42;0,01;0,05;0,3;105;-0,3;-0,08;87,86;17740,95;10;382;38;420
0,42;0,01;0,05;0,3;105;-0,5;-0,08;85,87;20760,35;15;374;46;420
0,42;0,01;0,05;0,3;105;-0,3;-0,08;84,30;20761,92;15;374;46;420
0,42;0,01;0,05;0,3;105;-0,5;-0,01;82,12;17746,69;10;382;38;420
0,42;0,01;0,05;0,3;105;-0,3;-0,01;80,01;17748,79;10;382;38;420
0,42;0,01;0,05;0,25;105;-0,3;0,05;79,21;19874,94;15;380;40;420
0,42;0,01;0,05;0,25;105;-0,3;-0,01;78,60;19868,58;15;379;41;420
0,42;0,01;0,05;0,35;80;-0,3;-0,01;77,67;15983,04;10;376;44;420
0,42;0,01;0,05;0,35;80;-0,5;-0,01;77,62;15983,09;10;376;44;420
0,42;0,01;0,05;0,25;105;-0,3;-0,08;76,97;19862,16;15;379;41;420
0,42;0,01;0,05;0,25;80;-0,5;0,05;76,88;16805,24;15;373;47;420
0,42;0,01;0,05;0,35;80;-0,3;0,05;76,80;15989,16;10;377;43;420
0,42;0,01;0,05;0,35;80;-0,5;0,05;76,80;15989,16;10;377;43;420
0,42;0,01;0,05;0,3;105;-0,5;0,05;76,20;17752,61;10;382;38;420
0,42;0,01;0,05;0,35;80;-0,3;-0,08;75,08;15979,56;10;376;44;420
0,42;0,01;0,05;0,35;80;-0,5;-0,08;75,08;15979,56;10;376;44;420
0,42;0,01;0,05;0,3;105;-0,3;0,05;74,43;17754,38;10;382;38;420
0,42;0,01;0,05;0,25;80;-0,5;-0,01;72,63;16803,18;15;372;48;420
0,42;0,01;0,05;0,3;60;-0,3;0,05;67,60;15638,47;15;363;57;420
0,42;0,01;0,05;0,25;80;-0,5;-0,08;67,45;16801,07;15;372;48;420
0,42;0,01;0,05;0,25;80;-0,3;0,05;67,23;16814,89;15;373;47;420
0,42;0,01;0,05;0,3;80;-0,5;0,05;66,52;15306,85;10;376;44;420
0,42;0,01;0,05;0,3;80;-0,5;-0,01;65,91;15302,17;10;375;45;420
0,42;0,01;0,05;0,3;80;-0,3;-0,01;64,10;15303,98;10;375;45;420
0,42;0,01;0,05;0,25;80;-0,3;-0,01;63,98;16811,83;15;372;48;420
0,42;0,01;0,05;0,3;80;-0,3;0,05;63,68;15309,69;10;376;44;420
0,42;0,01;0,05;0,3;60;-0,3;-0,01;62,60;15631,65;15;360;60;420
0,42;0,01;0,05;0,3;80;-0,5;-0,08;61,90;15300,06;10;375;45;420
0,42;0,01;0,05;0,25;80;-0,3;-0,08;60,33;16808,19;15;372;48;420
0,42;0,01;0,05;0,3;80;-0,3;-0,08;59,71;15302,25;10;375;45;420
0,42;0,01;0,05;0,3;60;-0,3;-0,08;56,51;15624,08;15;360;60;420
0,42;0,01;0,05;0,2;60;-0,5;0,05;44,40;13922,00;15;369;51;420
0,42;0,01;0,05;0,2;60;-0,5;-0,01;43,19;13918,62;15;368;52;420
0,42;0,01;0,05;0,25;105;-0,5;-0,08;41,15;19853,01;15;379;41;420
0,42;0,01;0,05;0,2;60;-0,5;-0,08;40,66;13915,86;15;368;52;420
0,42;0,01;0,05;0,2;60;-0,3;0,05;37,83;13928,57;15;369;51;420
0,42;0,01;0,05;0,25;105;-0,5;-0,01;37,17;19856,99;15;379;41;420
0,42;0,01;0,05;0,2;60;-0,3;-0,01;36,31;13925,50;15;368;52;420
0,42;0,01;0,05;0,2;60;-0,3;-0,08;35,17;13921,35;15;368;52;420
0,42;0,01;0,05;0,25;105;-0,5;0,05;32,61;19861,55;15;379;41;420
0,42;0,01;0,05;0,3;60;-0,5;-0,08;23,75;15612,53;15;360;60;420
0,42;0,01;0,05;0,3;60;-0,5;-0,01;18,70;15617,58;15;360;60;420
0,42;0,01;0,05;0,3;60;-0,5;0,05;13,82;15622,46;15;360;60;420
0,42;0,01;0,05;0,3;80;-0,5;0,05;13,04;18112,49;15;368;52;420
0,42;0,01;0,05;0,3;80;-0,5;-0,01;12,79;18107,41;15;367;53;420
0,42;0,01;0,05;0,3;80;-0,5;-0,08;10,48;18103,56;15;367;53;420
0,42;0,01;0,05;0,25;60;-0,3;0,05;7,55;12009,00;10;374;46;420
0,42;0,01;0,05;0,25;60;-0,3;-0,01;7,25;12006,31;10;373;47;420
0,42;0,01;0,05;0,3;80;-0,3;-0,01;6,10;18114,10;15;367;53;420
0,42;0,01;0,05;0,3;80;-0,3;0,05;5,54;18119,99;15;368;52;420
0,42;0,01;0,05;0,3;80;-0,3;-0,08;4,33;18109,71;15;367;53;420
0,42;0,01;0,05;0,25;60;-0,3;-0,08;4,06;12004,99;10;373;47;420
0,42;0,01;0,05;0,25;60;-0,5;-0,08;-10,08;12000,11;10;373;47;420
0,42;0,01;0,05;0,25;60;-0,5;-0,01;-12,15;12002,18;10;373;47;420
0,42;0,01;0,05;0,25;60;-0,5;0,05;-14,67;12003,78;10;373;47;420
0,42;0,01;0,05;0,3;60;-0,3;0,05;-36,00;12856,88;10;370;50;420
0,42;0,01;0,05;0,3;60;-0,5;0,05;-36,00;12856,88;10;370;50;420
0,42;0,01;0,05;0,3;60;-0,3;-0,01;-36,48;12854,16;10;369;51;420
0,42;0,01;0,05;0,3;60;-0,5;-0,01;-36,75;12854,43;10;369;51;420
0,42;0,01;0,05;0,3;60;-0,5;-0,08;-38,61;12851,60;10;369;51;420
0,42;0,01;0,05;0,3;60;-0,3;-0,08;-39,03;12852,02;10;369;51;420
0,42;0,01;0,05;0,35;105;-0,3;-0,08;-75,23;22270,67;15;371;49;420
0,42;0,01;0,05;0,35;105;-0,5;-0,08;-75,82;22271,26;15;371;49;420
0,42;0,01;0,05;0,35;105;-0,3;-0,01;-76,92;22281,77;15;371;49;420
0,42;0,01;0,05;0,35;105;-0,5;-0,01;-76,96;22281,81;15;371;49;420
0,42;0,01;0,05;0,35;105;-0,3;0,05;-79,64;22292,65;15;372;48;420
0,42;0,01;0,05;0,35;105;-0,5;0,05;-79,64;22292,65;15;372;48;420
0,42;0,01;0,05;0,2;105;-0,5;-0,08;-87,03;15121,76;10;387;33;420
0,42;0,01;0,05;0,2;105;-0,3;-0,08;-87,04;15121,77;10;387;33;420
0,42;0,01;0,05;0,25;80;-0,5;0,05;-88,58;14072,42;10;380;40;420
0,42;0,01;0,05;0,2;80;-0,3;-0,01;-90,81;13417,51;10;384;36;420
0,42;0,01;0,05;0,25;80;-0,5;-0,01;-91,45;14070,12;10;379;41;420
0,42;0,01;0,05;0,25;80;-0,3;0,05;-91,62;14075,46;10;380;40;420
0,42;0,01;0,05;0,2;105;-0,5;-0,01;-91,75;15126,48;10;387;33;420
0,42;0,01;0,05;0,25;80;-0,3;-0,01;-93,51;14072,18;10;379;41;420
0,42;0,01;0,05;0,2;105;-0,3;-0,01;-93,68;15128,41;10;387;33;420
0,42;0,01;0,05;0,2;80;-0,3;-0,08;-93,76;13414,60;10;384;36;420
0,42;0,01;0,05;0,2;105;-0,5;0,05;-96,03;15130,76;10;387;33;420
