Entry Price;Hedge50 Profit;RF Profit;Arb Profit;Budget Limit;Risk Threshold;Target Loss;Total PnL ($);Total Invested ($);Wins;Losses;Total Markets
0,35;0,01;0,15;0,25;105;-0,4;-0,01;226,19;24953,78;321;70;391
0,35;0,01;0,15;0,25;105;-0,3;-0,01;224,10;24955,87;321;70;391
0,35;0,01;0,15;0,25;105;-0,4;-0,08;223,90;24876,84;321;70;391
0,35;0,01;0,15;0,25;105;-0,4;0,05;223,03;24898,49;323;68;391
0,35;0,01;0,15;0,25;105;-0,3;-0,08;222,32;24878,42;321;70;391
0,35;0,01;0,15;0,25;105;-0,3;0,05;221,50;24900,02;323;68;391
0,35;0,01;0,15;0,2;80;-0,4;-0,01;89,49;19597,69;315;76;391
0,35;0,01;0,15;0,2;80;-0,3;-0,01;82,30;19611,87;315;76;391
0,35;0,01;0,15;0,2;80;-0,4;-0,08;67,36;19438,92;315;76;391
0,35;0,01;0,15;0,2;80;-0,3;-0,08;61,35;19444,93;315;76;391
0,35;0,01;0,15;0,2;80;-0,3;0,05;60,06;19045,08;316;75;391
0,35;0,01;0,15;0,2;80;-0,4;0,05;59,19;19045,96;316;75;391
0,35;0,01;0,1;0,05;105;-0,4;0,05;38,76;14701,34;359;32;391
0,35;0,01;0,15;0,05;105;-0,4;0,05;35,93;14770,50;358;33;391
0,35;0,01;0,1;0,05;105;-0,3;0,05;35,16;14704,94;359;32;391
0,35;0,01;0,1;0,05;105;-0,4;-0,01;31,83;15107,99;355;36;391
0,35;0,01;0,15;0,05;105;-0,3;0,05;31,73;14774,70;358;33;391
0,35;0,01;0,1;0,05;105;-0,4;-0,08;28,82;15035,26;358;33;391
0,35;0,01;0,15;0,05;105;-0,4;-0,01;28,78;15177,37;354;37;391
0,35;0,01;0,1;0,05;105;-0,3;-0,08;27,22;15067,19;358;33;391
0,35;0,01;0,1;0,05;105;-0,3;-0,01;26,44;15173,97;354;37;391
0,35;0,01;0,15;0,05;105;-0,4;-0,08;25,60;15104,81;357;34;391
0,35;0,01;0,15;0,05;105;-0,3;-0,08;23,46;15137,28;357;34;391
0,35;0,01;0,15;0,05;105;-0,3;-0,01;22,94;15243,80;353;38;391
0,35;0,01;0,05;0,05;105;-0,4;0,05;13,06;14631,22;359;32;391
0,35;0,01;0,05;0,05;105;-0,3;0,05;9,05;14635,23;359;32;391
0,35;0,01;0,05;0,05;105;-0,4;-0,08;3,63;14964,63;358;33;391
0,35;0,01;0,05;0,05;105;-0,3;-0,08;2,33;14996,26;358;33;391
0,35;0,01;0,05;0,05;105;-0,4;-0,01;1,75;15042,25;355;36;391
0,35;0,05;0,05;0,05;105;-0,4;0,05;1,12;15440,33;356;35;391
0,35;0,05;0,05;0,05;105;-0,3;0,05;-2,17;15443,63;356;35;391
0,35;0,01;0,05;0,05;105;-0,3;-0,01;-3,49;15108,08;354;37;391
0,35;0,05;0,05;0,05;105;-0,4;-0,01;-6,46;15693,00;355;36;391
0,35;0,01;0,15;0,2;105;-0,3;-0,01;-10,89;24241,93;324;67;391
0,35;0,05;0,05;0,05;105;-0,4;-0,08;-13,18;15645,05;357;34;391
0,35;0,05;0,05;0,05;105;-0,3;-0,01;-15,14;15744,02;354;37;391
0,35;0,05;0,05;0,05;105;-0,3;-0,08;-16,94;15666,37;357;34;391
0,35;0,01;0,15;0,2;105;-0,4;-0,01;-22,06;24221,27;324;67;391
0,35;0,01;0,15;0,2;105;-0,4;-0,08;-25,17;23809,65;325;66;391
0,35;0,01;0,15;0,2;105;-0,3;-0,08;-28,38;23812,86;325;66;391
0,35;0,01;0,15;0,2;105;-0,3;0,05;-40,49;23123,93;326;65;391
0,35;0,01;0,15;0,2;105;-0,4;0,05;-42,08;23125,52;326;65;391
0,35;0,01;0,1;0,25;105;-0,3;0,05;-46,47;23879,41;327;64;391
0,35;0,01;0,1;0,25;105;-0,4;0,05;-46,47;23879,41;327;64;391
0,35;0,01;0,1;0,25;105;-0,3;-0,01;-53,55;23872,45;325;66;391
0,35;0,01;0,1;0,25;105;-0,4;-0,01;-53,55;23872,45;325;66;391
0,35;0,01;0,1;0,25;105;-0,3;-0,08;-54,82;23857,50;325;66;391
0,35;0,01;0,1;0,25;105;-0,4;-0,08;-54,82;23857,50;325;66;391
0,35;0,01;0,15;0,25;80;-0,4;0,05;-62,97;20220,27;310;81;391
0,35;0,01;0,15;0,25;80;-0,3;0,05;-63,02;20220,32;310;81;391
0,35;0,01;0,15;0,25;80;-0,3;-0,01;-64,07;20224,74;308;83;391
0,35;0,01;0,15;0,25;80;-0,4;-0,01;-64,21;20224,88;308;83;391
0,35;0,01;0,05;0,25;105;-0,3;0,05;-72,63;22421,57;340;51;391
0,35;0,01;0,05;0,25;105;-0,4;0,05;-72,63;22421,57;340;51;391
0,35;0,01;0,15;0,25;80;-0,4;-0,08;-73,14;20217,05;307;84;391
0,35;0,01;0,15;0,25;80;-0,3;-0,08;-73,79;20217,70;307;84;391
0,35;0,01;0,05;0,25;105;-0,3;-0,01;-77,88;22418,49;339;52;391
0,35;0,01;0,05;0,25;105;-0,4;-0,01;-77,88;22418,49;339;52;391
0,35;0,01;0,05;0,25;105;-0,3;-0,08;-80,67;22411,65;339;52;391
0,35;0,01;0,05;0,25;105;-0,4;-0,08;-80,67;22411,65;339;52;391
0,35;0,01;0,1;0,05;80;-0,4;-0,01;-88,15;13682,62;346;45;391
0,35;0,01;0,1;0,05;80;-0,3;-0,01;-92,03;13723,20;346;45;391
0,35;0,01;0,1;0,05;80;-0,4;0,05;-93,08;13431,95;351;40;391
0,35;0,01;0,1;0,05;80;-0,4;-0,08;-93,13;13648,95;350;41;391
0,35;0,01;0,1;0,05;80;-0,3;-0,08;-93,54;13659,30;349;42;391
0,35;0,01;0,15;0,05;80;-0,4;-0,01;-95,17;13689,64;345;46;391
0,35;0,01;0,1;0,05;80;-0,3;0,05;-95,99;13434,86;351;40;391
0,35;0,01;0,1;0,2;80;-0,4;0,05;-98,59;18681,69;320;71;391
