Entry Price;Hedge50 Profit;RF Profit;Arb Profit;Budget Limit;Risk Threshold;Target Loss;Total PnL ($);Total Invested ($);Entry size;Wins;Losses;Total Markets
0,42;0,11;0,15;0,2;105;-0,3;0,05;362,52;23406,76;10;359;61;420
0,42;0,11;0,15;0,2;105;-0,3;-0,01;340,41;24317,66;10;356;64;420
0,42;0,11;0,15;0,2;105;-0,5;-0,01;316,55;24146,45;10;356;64;420
0,42;0,11;0,15;0,2;105;-0,5;-0,08;292,07;23917,11;10;357;63;420
0,42;0,11;0,15;0,2;105;-0,3;-0,08;286,22;24001,28;10;357;63;420
0,42;0,11;0,15;0,2;105;-0,5;0,05;282,51;23460,88;10;357;63;420
0,42;0,16;0,15;0,2;105;-0,3;0,05;221,17;23245,88;10;353;67;420
0,42;0,16;0,15;0,2;105;-0,3;-0,01;217,86;24029,29;10;350;70;420
0,42;0,16;0,15;0,2;105;-0,5;-0,01;200,03;23871,67;10;350;70;420
0,42;0,16;0,15;0,2;105;-0,5;0,05;177,03;23276,14;10;352;68;420
0,42;0,05;0,05;0,35;60;-0,5;0,05;172,76;17160,49;15;353;67;420
0,42;0,05;0,05;0,35;60;-0,5;-0,01;172,04;17157,21;15;351;69;420
0,42;0,16;0,15;0,2;105;-0,3;-0,08;171,88;23933,8;10;350;70;420
0,42;0,05;0,05;0,35;60;-0,5;-0,08;171,84;17152,77;15;351;69;420
0,42;0,05;0,05;0,35;60;-0,3;-0,08;169,87;17154,74;15;351;69;420
0,42;0,05;0,05;0,35;60;-0,3;-0,01;169,83;17159,42;15;351;69;420
0,42;0,05;0,05;0,35;60;-0,3;0,05;169,69;17163,56;15;353;67;420
0,42;0,21;0,15;0,3;105;-0,3;-0,08;165,25;26967,46;10;337;83;420
0,42;0,11;0,1;0,35;105;-0,5;-0,08;165,07;26404,34;10;345;75;420
0,42;0,16;0,15;0,2;105;-0,5;-0,08;164,86;23909,8;10;350;70;420
0,42;0,11;0,1;0,35;105;-0,5;-0,01;164,35;26412,97;10;345;75;420
0,42;0,11;0,1;0,35;105;-0,5;0,05;162,04;26422,12;10;346;74;420
0,42;0,21;0,15;0,3;105;-0,3;-0,01;158,35;26981,79;10;337;83;420
0,42;0,05;0,1;0,35;105;-0,5;-0,08;157,17;25693,74;10;346;74;420
0,42;0,11;0,1;0,35;105;-0,3;-0,08;155,42;26413,99;10;345;75;420
0,42;0,05;0,1;0,35;105;-0,3;-0,08;155,1;25695,81;10;346;74;420
0,42;0,16;0,05;0,25;105;-0,3;-0,08;154,42;22822,16;15;373;47;420
0,42;0,11;0,1;0,35;105;-0,3;-0,01;153,68;26423,64;10;345;75;420
0,42;0,05;0,1;0,35;105;-0,5;-0,01;152,84;25704,57;10;346;74;420
0,42;0,21;0,15;0,3;105;-0,3;0,05;152,75;26993,82;10;338;82;420
