Market ID;Result;Invested ($);PnL ($);PnL (%);Win;Loss
0xf14cdd2ecba611b6a9456c920791e6d9daf4ab81f9af191e00e283d3a95b6f20;WIN;92,29;9,50;10.29;1;0
0x2dbd0400e44861f3cc52036c46f33218426ddbeff05a1d250dde6e813fa68b1e;WIN;25,28;4,08;16.12;1;0
0xbb0a98b30bb4e32498a1b0bbdf1c11d10465eb18fc79af68aa2ae01908adb446;WIN;102,08;9,02;8.84;1;0
0xbdd9fdfe201d5b7447751fe0e7b3402b15f3edbbbb69c528f44db7d241353403;WIN;30,11;4,66;15.47;1;0
0x4ea8bee71b11bcce210ca4716f7c675d01cc94a4584d830d4853739646c9ced0;WIN;19,50;3,35;17.16;1;0
0x584ec541ff460c412e4696ee7adb7377591e8e1644c899755451e16e4f6c6190;WIN;14,89;2,41;16.22;1;0
0x82e063efa7d4401cbe1f2bfb48d44599ee625e06d59674ee42fa649fd4b82162;WIN;15,69;2,00;12.75;1;0
0xed23b8f26dc9d3628bf30a6f024c0a7195ae050239c0e37a8d36f16bf5b42336;WIN;16,15;2,46;15.23;1;0
0x016d0ec09af59e8e5d1faa1e3de71c87dfd917c5ea2270bdb0e8632e22e0bb0d;WIN;68,38;11,78;17.23;1;0
0x110270f434e7e9925d93afcd48e88c3b48c02ef0034eba54237975ded05db028;WIN;60,59;9,30;15.35;1;0
0x9f96187eb167e6b170f08449b7df859df7f86c1a34e2fc8514eafe126ea1cf92;LOSS;79,66;-32,74;-41.10;0;1
0xf3dfd74e149dce625bed28c9724591b4c489752961991b28ec8fd24aa032fb91;WIN;17,17;2,48;14.43;1;0
0x1f246a4fa53749f699b4b0bf1939bcc2d3d7c7d8d7b7983d3871a73d57aab0b2;WIN;71,63;9,37;13.09;1;0
0x40fa893e363360abdb08f950b5a362114ea1700155356ea88f03f93000915ae2;WIN;88,62;14,14;15.95;1;0
0xf11259ace6c0d8853e9497c8479c268f33e4e30bb7a40c0cc7336aceef44110a;WIN;90,05;3,75;4.16;1;0
0xf1c04530ed46fb650970ac6efaf85e0ad39471c2f541e5951955e06ea00a1383;WIN;90,91;7,14;7.85;1;0
0x4c6c16e4a4c5fa793d4736080c548e3a02f697fafeb4a851a1fcf27ade3bf7d0;WIN;16,08;2,84;17.65;1;0
0x53a26b9fed8455300b0974785187a38d8ab4030b0eb1cf70fa90152efca2da00;WIN;15,28;2,35;15.39;1;0
0x7f2a60ea7c134526ca2db4419da17c7074e4f0660eb2f8623af2ea1121e4c461;WIN;20,28;3,39;16.74;1;0
0x5eb07c5ee0d03fc8d5c3064eaefc2e3823be075b07b61cae0cdd862514f10c7e;WIN;95,76;16,68;17.42;1;0
0x609c6e7841e8dcbe54e8817f03282edf796beb6c2a01cac9b411fd080593f243;WIN;44,36;6,56;14.79;1;0
0x7fd2220f87c1e4f605c69938165b5092f257a306d56431b5879a5c950eeb96fe;WIN;23,97;4,07;16.99;1;0
